ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj,,,,
äÓèÄì˙,äÓèÄâøäz,äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj,ï™îzã‡(ê≈à¯ëO),èÉéëéY(â≠â~)
2018/7/3,10038,10038,,0.01
2018/7/4,9936,9936,,0.01
2018/7/5,9942,9942,,1.05
2018/7/6,10057,10057,,1.06
2018/7/9,10121,10121,,1.62
2018/7/10,10265,10265,,1.75
2018/7/11,10288,10288,,2.27
2018/7/12,10330,10330,,2.72
2018/7/13,10475,10475,,3.15
2018/7/17,10445,10445,,3.7
2018/7/18,10541,10541,,4.3
2018/7/19,10540,10540,,5.32
2018/7/20,10486,10486,,5.72
2018/7/23,10322,10322,,6.46
2018/7/24,10371,10371,,6.88
2018/7/25,10423,10423,,7.65
2018/7/26,10462,10462,,8.23
2018/7/27,10469,10469,,8.79
2018/7/30,10398,10398,,8.97
2018/7/31,10330,10330,,9.31
2018/8/1,10458,10458,,10.09
2018/8/2,10437,10437,,10.49
2018/8/3,10497,10497,,11.44
2018/8/6,10493,10493,,11.98
2018/8/7,10539,10539,,12.49
2018/8/8,10581,10581,,13.46
2018/8/9,10526,10526,,13.66
2018/8/10,10515,10515,,15.22
2018/8/13,10409,10409,,15.88
2018/8/14,10388,10388,,16.49
2018/8/15,10514,10514,,17.36
2018/8/16,10361,10361,,17.83
2018/8/17,10473,10473,,18.71
2018/8/20,10477,10477,,19.26
2018/8/21,10439,10439,,19.53
2018/8/22,10490,10490,,20.23
2018/8/23,10540,10540,,20.61
2018/8/24,10592,10592,,21.13
2018/8/27,10627,10627,,21.57
2018/8/28,10712,10712,,22.06
2018/8/29,10715,10715,,22.91
2018/8/30,10828,10828,,23.51
2018/8/31,10714,10714,,23.74
2018/9/3,10709,10709,,24.22
2018/9/4,10718,10718,,24.79
2018/9/5,10743,10743,,24.85
2018/9/6,10688,10688,,26.04
2018/9/7,10580,10580,,26.05
2018/9/10,10598,10598,,26.64
2018/9/11,10668,10668,,27.15
2018/9/12,10720,10720,,28.17
2018/9/13,10710,10710,,28.7
2018/9/14,10834,10834,,29.6
2018/9/18,10751,10751,,29.53
2018/9/19,10855,10855,,30.12
2018/9/20,10876,10876,,31.16
2018/9/21,10984,10984,,31.96
2018/9/25,10981,10981,,32.42
2018/9/26,10959,10959,,33.6
2018/9/27,10919,10919,,34.63
2018/9/28,11016,11016,,35.82
2018/10/1,11051,11051,,36.61
2018/10/2,11097,11097,,38.38
2018/10/3,11056,11056,,39.93
2018/10/4,11143,11143,,41.01
2018/10/5,11026,11026,,41.85
2018/10/9,10849,10849,,41.95
2018/10/10,10845,10845,,43.13
2018/10/11,10420,10420,,43.17
2018/10/12,10195,10195,,43.49
2018/10/15,10324,10324,,45.37
2018/10/16,10250,10250,,47.72
2018/10/17,10520,10520,,52.29
2018/10/18,10545,10545,,53.7
2018/10/19,10362,10362,,54.46
2018/10/22,10369,10369,,55.61
2018/10/23,10351,10351,,56.3
2018/10/24,10267,10267,,57.05
2018/10/25,9911,9911,,55.59
2018/10/26,10133,10133,,57.82
2018/10/29,9916,9916,,57.84
2018/10/30,9898,9898,,58.8
2018/10/31,10121,10121,,60.83
2018/11/1,10188,10188,,62.09
2018/11/2,10303,10303,,63.78
2018/11/5,10272,10272,,64.99
2018/11/6,10330,10330,,66.17
2018/11/7,10387,10387,,67.58
2018/11/8,10652,10652,,69.75
2018/11/9,10667,10667,,71.65
2018/11/12,10561,10561,,72.14
2018/11/13,10328,10328,,70.99
2018/11/14,10339,10339,,72.25
2018/11/15,10238,10238,,72.42
2018/11/16,10349,10349,,73.96
2018/11/19,10288,10288,,74.28
2018/11/20,10112,10112,,73.53
2018/11/21,9949,9949,,72.95
2018/11/22,9996,9996,,73.74
2018/11/26,9927,9927,,74.27
2018/11/27,10124,10124,,75.74
2018/11/28,10182,10182,,76.97
2018/11/29,10402,10402,,79.63
2018/11/30,10368,10368,,79.91
2018/12/3,10468,10468,,81.08
2018/12/4,10580,10580,,82.64
2018/12/5,10173,10173,,80.99
2018/12/6,10178,10178,,80.82
2018/12/7,10151,10151,,80.61
2018/12/10,9893,9893,,79.72
2018/12/11,9964,9964,,80.9
2018/12/12,9998,9998,,82.18
2018/12/13,10041,10041,,83.48
2018/12/14,10057,10057,,84.55
2018/12/17,9854,9854,,83.64
2018/12/18,9593,9593,,82.07
2018/12/19,9566,9566,,82.99
2018/12/20,9429,9429,,82.41
2018/12/21,9183,9183,,80.95
2018/12/25,8645,8645,,77.06
2018/12/26,8693,8693,,78.45
2018/12/27,9162,9162,,82.68
2018/12/28,9231,9231,,85.73
2019/1/4,8809,8809,,83.1
2019/1/7,9184,9184,,87.72
2019/1/8,9272,9272,,91.02
2019/1/9,9354,9354,,93.15
2019/1/10,9350,9350,,93.72
2019/1/11,9416,9416,,95.62
2019/1/15,9360,9360,,95.71
2019/1/16,9463,9463,,97.96
2019/1/17,9531,9531,,99.86
2019/1/18,9641,9641,,102.11
2019/1/21,9794,9794,,103.91
2019/1/22,9796,9796,,104.83
2019/1/23,9640,9640,,103.16
2019/1/24,9665,9665,,104.03
2019/1/25,9698,9698,,105.25
2019/1/28,9744,9744,,106.25
2019/1/29,9653,9653,,106.88
2019/1/30,9660,9660,,107.69
2019/1/31,9770,9770,,109.18
2019/2/1,9854,9854,,110.52
2019/2/4,9917,9917,,111.74
2019/2/5,10029,10029,,114.86
2019/2/6,10059,10059,,116.24
2019/2/7,10047,10047,,117.42
2019/2/8,9945,9945,,116.62
2019/2/12,10026,10026,,118.43
